Statename,CourseofStudy,ClassOfGrade,Date of Graduation,MaritalStatus,Gender,DateOfBirth,College,DeptmentCode
Lagos State,PHYSICS/B.Sc.,Second Class Upper,NA,S,M,2001-01-23,COLPHYS,PHS
Ogun State,ENVIRONMENTAL MANAGEMENT & TOXICOLOGY (ENV. TOXICOLOGY OPTION)/B.EMT,Second Class Upper,NA,S,M,2002-08-22,COLERM,EMT
Lagos State,AGRICULTURE/B.AGRIC.,Second Class Upper,NA,S,F,2001-07-22,COLAMRUD,AEFM
Ondo State,NUTRITION AND DIETETICS/B.Sc.,Second Class Upper,NA,S,M,2002-06-25,COLFHEC,NUD
Ogun State,COMPUTER SCIENCE/B.Sc.,Second Class Upper,NA,S,M,2000-07-17,COLPHYS,CSC
Ogun State,NUTRITION AND DIETETICS/B.Sc.,Second Class Upper,NA,S,M,1998-04-20,COLFHEC,NUD
Oyo State,AGRICULTURE/B.AGRIC.,Second Class Upper,NA,S,F,2002-04-29,COLANIM,ABG
Ogun State,AGRICULTURE/B.AGRIC.,Second Class Upper,NA,S,M,1999-07-16,COLANIM,ANP
Lagos State,AGRICULTURE/B.AGRIC.,Second Class Upper,NA,S,M,2001-10-24,COLANIM,APH
Ogun State,CHEMISTRY/B.Sc.,Second Class Upper,NA,S,M,2003-04-20,COLPHYS,CHM
Oyo State,AGRICULTURE/B.AGRIC.,Second Class Upper,NA,S,M,2002-12-29,COLANIM,ANN
Delta State,AGRICULTURE/B.AGRIC.,Second Class Upper,NA,S,M,1999-06-16,COLANIM,ABG
Ondo State,AGRICULTURE/B.AGRIC.,Second Class Upper,NA,S,M,2001-05-05,COLPLANT,CPT
Lagos State,BIOCHEMISTRY/B.SC.,Second Class Upper,NA,S,M,2002-11-10,COLBIOS,BCH
Oyo State,CHEMISTRY/B.Sc.,Second Class Upper,NA,S,F,2001-03-19,COLPHYS,CHM
Oyo State,FOOD SCIENCE AND TECHNOLOGY/B.Sc.,Second Class Upper,NA,S,M,1998-09-30,COLFHEC,FST
Lagos State,BIOCHEMISTRY/B.SC.,Second Class Upper,NA,S,F,2002-09-13,COLBIOS,BCH
Lagos State,COMPUTER SCIENCE/B.Sc.,Second Class Upper,NA,S,M,2000-07-12,COLPHYS,CSC
Ogun State,AGRICULTURE/B.AGRIC.,Second Class Upper,NA,S,F,2000-11-28,COLANIM,APH
Ogun State,ENVIRONMENTAL MANAGEMENT & TOXICOLOGY (ENV.  MGT OPTION)/B.EMT,Second Class Upper,NA,S,F,1999-01-31,COLERM,EMT
Oyo State,AGRICULTURE/B.AGRIC.,Second Class Upper,NA,S,M,1996-04-13,COLAMRUD,AEFM
Delta State,COMPUTER SCIENCE/B.Sc.,Second Class Upper,NA,S,M,2002-03-31,COLPHYS,CSC
Lagos State,HOSPITALITY AND TOURISM/B.Sc.,Second Class Upper,NA,S,M,2002-03-05,COLFHEC,HTM
Osun State,AGRICULTURE/B.AGRIC.,Second Class Upper,NA,S,M,1996-10-02,COLANIM,ANP
Ogun State,AGRICULTURE/B.AGRIC.,Second Class Upper,NA,S,F,1999-08-14,COLANIM,ANP
Ogun State,AQUACULTURE AND FISHERIES MANAGEMENT/B.AQFM,Second Class Upper,NA,S,F,2001-07-06,COLERM,AQFM
Lagos State,CHEMISTRY/B.Sc.,Second Class Upper,NA,S,F,2002-10-27,COLPHYS,CHM
Ogun State,WATER RESOURCES MANAGEMENT AND AGROMETEOROLOGY (HYDROLOGY OPTION)/B.WRMA,Second Class Upper,NA,S,M,1998-10-29,COLERM,WMA
Lagos State,ZOOLOGY/B.SC.,Second Class Upper,NA,S,F,2004-06-06,COLBIOS,PAZ
Ogun State,AQUACULTURE AND FISHERIES MANAGEMENT/B.AQFM,Second Class Upper,NA,S,F,2001-04-02,COLERM,AQFM
Oyo State,ZOOLOGY/B.SC.,Second Class Upper,NA,S,F,2002-03-31,COLBIOS,PAZ
Lagos State,AGRICULTURE/B.AGRIC.,Second Class Upper,NA,S,F,2001-09-25,COLAMRUD,AEFM
Lagos State,AGRICULTURE/B.AGRIC.,Second Class Upper,NA,S,F,2000-05-14,COLAMRUD,AGAD
Ogun State,AGRICULTURE/B.AGRIC.,Second Class Upper,NA,S,F,2002-05-29,COLAMRUD,AERD
Oyo State,STATISTICS/B.Sc.,Second Class Upper,NA,S,F,1999-06-23,COLPHYS,STS
Ogun State,AGRICULTURAL AND BIO-RESOURCES ENGINEERING/B.ENG,Second Class Upper,NA,S,M,2003-02-08,COLENG,ABE
Oyo State,PHYSICS/B.Sc.,Second Class Upper,NA,S,M,2003-06-09,COLPHYS,PHS
Osun State,MICROBIOLOGY/B.Sc.,Second Class Upper,NA,S,F,1998-03-08,COLBIOS,MCB
Ogun State,ENVIRONMENTAL MANAGEMENT & TOXICOLOGY (ENV. TOXICOLOGY OPTION)/B.EMT,Second Class Upper,NA,S,M,2001-04-26,COLERM,EMT
Lagos State,HOSPITALITY AND TOURISM/B.Sc.,Second Class Upper,NA,S,F,2000-10-18,COLFHEC,HTM
Osun State,NUTRITION AND DIETETICS/B.Sc.,Second Class Upper,NA,S,F,2002-10-22,COLFHEC,NUD
Ogun State,AGRICULTURE/B.AGRIC.,Second Class Upper,NA,S,F,2002-04-12,COLANIM,ABG
Ogun State,WATER RESOURCES MANAGEMENT AND AGROMETEOROLOGY (HYDROLOGY OPTION)/B.WRMA,Second Class Upper,NA,S,M,2001-12-19,COLERM,WMA
