Statename,CourseofStudy,ClassOfGrade,Date of Graduation,MaritalStatus,Gender,DateOfBirth,College,DeptmentCode
Lagos State,AGRICULTURE/B.AGRIC.,First Class,NA,S,M,1999-03-10,COLANIM,ABG
Ondo State,AGRICULTURE/B.AGRIC.,First Class,NA,S,F,1999-03-23,COLAMRUD,AEFM
Ogun State,ELECTRICAL AND ELECTRONICS ENGINEERING/B.ENGR.,First Class,NA,S,M,2002-02-08,COLENG,ELE
Ogun State,MICROBIOLOGY/B.Sc.,First Class,NA,S,F,1997-10-26,COLBIOS,MCB
Oyo State,AGRICULTURE/B.AGRIC.,First Class,NA,S,M,2000-10-04,COLANIM,APH
Oyo State,NUTRITION AND DIETETICS/B.Sc.,First Class,NA,S,F,1999-06-17,COLFHEC,NUD
Oyo State,AGRICULTURE/B.AGRIC.,First Class,NA,S,M,2000-10-01,COLANIM,ABG
Ogun State,AGRICULTURE/B.AGRIC.,First Class,NA,S,F,1997-07-08,COLANIM,APH
Lagos State,HOME SCIENCE AND MANAGEMENT(CLOTHING & TEXTILE)/B.Sc.,First Class,NA,S,F,2000-12-04,COLFHEC,HSM
Ogun State,AGRICULTURE/B.AGRIC.,First Class,NA,S,M,2000-10-28,COLANIM,PRM
Ogun State,MICROBIOLOGY/B.Sc.,First Class,NA,S,F,2004-09-28,COLBIOS,MCB
Ogun State,AQUACULTURE AND FISHERIES MANAGEMENT/B.AQFM,First Class,NA,S,M,2001-02-01,COLERM,AQFM
Ogun State,ELECTRICAL AND ELECTRONICS ENGINEERING/B.ENGR.,First Class,NA,S,M,2001-06-09,COLENG,ELE
Ogun State,MECHATRONICS ENGINEERING/B.ENGR.,First Class,NA,S,M,2002-04-04,COLENG,MTE
Oyo State,AGRICULTURE/B.AGRIC.,First Class,NA,S,F,2001-05-23,COLAMRUD,AEFM
Ogun State,AGRICULTURE/B.AGRIC.,First Class,NA,S,M,2000-10-13,COLANIM,ABG
Lagos State,AGRICULTURAL AND BIO-RESOURCES ENGINEERING/B.ENG,First Class,NA,S,M,2001-03-07,COLENG,ABE
Ogun State,AGRICULTURE/B.AGRIC.,First Class,NA,S,M,1999-12-30,COLANIM,APH
Ekiti State,AGRICULTURE/B.AGRIC.,First Class,NA,S,F,1998-08-23,COLANIM,APH
Oyo State,BIOCHEMISTRY/B.SC.,First Class,NA,S,F,1998-05-01,COLBIOS,BCH
Ogun State,AGRICULTURE/B.AGRIC.,First Class,NA,S,M,2002-04-27,COLAMRUD,AEFM
Oyo State,AGRICULTURE/B.AGRIC.,First Class,NA,S,M,2000-12-31,COLAMRUD,AEFM
Oyo State,AGRICULTURE/B.AGRIC.,First Class,NA,S,F,2002-06-20,COLANIM,ANN
Lagos State,AGRICULTURAL AND BIO-RESOURCES ENGINEERING/B.ENG,First Class,NA,S,M,1999-03-22,COLENG,ABE
Ondo State,AGRICULTURE/B.AGRIC.,First Class,NA,S,M,2000-04-29,COLANIM,APH
Oyo State,AGRICULTURE/B.AGRIC.,First Class,NA,S,F,2001-05-28,COLANIM,APH
Ogun State,AGRICULTURE/B.AGRIC.,First Class,NA,S,F,2003-04-15,COLAMRUD,AGAD
Ogun State,MICROBIOLOGY/B.Sc.,First Class,NA,S,F,2003-12-24,COLBIOS,MCB
Oyo State,MICROBIOLOGY/B.Sc.,First Class,NA,S,M,2002-04-20,COLBIOS,MCB
Ogun State,WATER RESOURCES MANAGEMENT AND AGROMETEOROLOGY (HYDROLOGY OPTION)/B.WRMA,First Class,NA,S,M,2002-06-28,COLERM,WMA
Ogun State,FOOD SCIENCE AND TECHNOLOGY/B.Sc.,First Class,NA,S,F,2001-05-24,COLFHEC,FST
Ogun State,ELECTRICAL AND ELECTRONICS ENGINEERING/B.ENGR.,First Class,NA,S,M,2002-07-04,COLENG,ELE
Lagos State,MICROBIOLOGY/B.Sc.,First Class,NA,S,F,1998-08-10,COLBIOS,MCB
Oyo State,AGRICULTURE/B.AGRIC.,First Class,NA,S,F,1999-07-09,COLPLANT,PPCP
Lagos State,AGRICULTURE/B.AGRIC.,First Class,NA,S,F,2000-06-04,COLANIM,ANN
Lagos State,AGRICULTURE/B.AGRIC.,First Class,NA,S,F,2000-01-22,COLPLANT,CPT
Ogun State,AGRICULTURE/B.AGRIC.,First Class,NA,S,F,1998-08-10,COLAMRUD,AERD
Kwara State,AGRICULTURAL AND BIO-RESOURCES ENGINEERING/B.ENG,First Class,NA,S,M,2000-07-21,COLENG,ABE
Ogun State,AGRICULTURE/B.AGRIC.,First Class,NA,S,F,2001-10-17,COLAMRUD,AEFM
Ogun State,VETERINARY MEDICINE/DVM,First Class,NA,S,M,2000-12-07,COLVET,VET
Oyo State,AGRICULTURAL AND BIO-RESOURCES ENGINEERING/B.ENG,First Class,NA,S,M,1999-11-13,COLENG,ABE
Lagos State,MECHATRONICS ENGINEERING/B.ENGR.,First Class,NA,S,M,1998-09-17,COLENG,MTE
Ogun State,AGRICULTURE/B.AGRIC.,First Class,NA,S,M,2000-12-29,COLANIM,ABG
Oyo State,AQUACULTURE AND FISHERIES MANAGEMENT/B.AQFM,First Class,NA,S,M,2000-03-27,COLERM,AQFM
Ondo State,HOSPITALITY AND TOURISM/B.Sc.,First Class,NA,S,F,2000-08-27,COLFHEC,HTM
Ogun State,WATER RESOURCES MANAGEMENT AND AGROMETEOROLOGY (HYDROLOGY OPTION)/B.WRMA,First Class,NA,S,M,1998-02-03,COLERM,WMA
Lagos State,ZOOLOGY/B.SC.,First Class,NA,S,F,1999-11-09,COLBIOS,PAZ
Lagos State,AGRICULTURE/B.AGRIC.,First Class,NA,S,F,2001-05-03,COLAMRUD,AGAD
Ogun State,AGRICULTURE/B.AGRIC.,First Class,NA,S,M,2001-05-05,COLANIM,ANP
Ogun State,AGRICULTURE/B.AGRIC.,First Class,NA,S,M,2000-02-13,COLPLANT,HRT
Oyo State,MICROBIOLOGY/B.Sc.,First Class,NA,S,F,2001-07-17,COLBIOS,MCB
Ogun State,BIOCHEMISTRY/B.SC.,First Class,NA,S,F,1999-05-10,COLBIOS,BCH
Lagos State,FOOD SCIENCE AND TECHNOLOGY/B.Sc.,First Class,NA,S,M,2000-08-20,COLFHEC,FST
Lagos State,ELECTRICAL AND ELECTRONICS ENGINEERING/B.ENGR.,First Class,NA,S,M,2002-03-26,COLENG,ELE
Lagos State,AGRICULTURAL AND BIO-RESOURCES ENGINEERING/B.ENG,First Class,NA,S,M,2003-04-25,COLENG,ABE
Lagos State,AGRICULTURE/B.AGRIC.,First Class,NA,S,M,1997-11-10,COLANIM,APH
Oyo State,MECHATRONICS ENGINEERING/B.ENGR.,First Class,NA,S,M,2000-04-07,COLENG,MTE
Oyo State,WATER RESOURCES MANAGEMENT AND AGROMETEOROLOGY (HYDROLOGY OPTION)/B.WRMA,First Class,NA,S,M,2000-05-11,COLERM,WMA
Oyo State,MECHANICAL ENGINEERING/B.ENGR.,First Class,NA,S,M,1999-08-31,COLENG,MCE
Osun State,AGRICULTURE/B.AGRIC.,First Class,NA,S,M,1996-04-24,COLAMRUD,AGAD
Oyo State,NUTRITION AND DIETETICS/B.Sc.,First Class,NA,S,M,2002-07-13,COLFHEC,NUD
Oyo State,AGRICULTURE/B.AGRIC.,First Class,NA,S,F,2002-04-14,COLANIM,ABG
Ogun State,BOTANY/B.SC.,First Class,NA,S,F,1994-04-04,COLBIOS,PAB
Ogun State,AGRICULTURE/B.AGRIC.,First Class,NA,S,M,2000-07-04,COLAMRUD,AGAD
Oyo State,AGRICULTURE/B.AGRIC.,First Class,NA,S,F,2000-03-05,COLAMRUD,AGAD
Oyo State,MICROBIOLOGY/B.Sc.,First Class,NA,S,M,2002-08-05,COLBIOS,MCB
Osun State,AGRICULTURE/B.AGRIC.,First Class,NA,S,F,2000-10-02,COLPLANT,SSLM
Oyo State,AGRICULTURE/B.AGRIC.,First Class,NA,S,F,1994-08-24,COLANIM,APH
Oyo State,AGRICULTURE/B.AGRIC.,First Class,NA,S,M,1996-08-16,COLANIM,ABG
Lagos State,NUTRITION AND DIETETICS/B.Sc.,First Class,NA,S,F,2000-05-31,COLFHEC,NUD
Ogun State,HOME SCIENCE AND MANAGEMENT(CHILD DEVELOPMENT & FAMILY STUDIES)/B.Sc.,First Class,NA,S,F,2001-10-03,COLFHEC,HSM
Lagos State,AGRICULTURE/B.AGRIC.,First Class,NA,S,F,2001-02-25,COLAMRUD,AEFM
Lagos State,CHEMISTRY/B.Sc.,First Class,NA,S,F,2000-08-13,COLPHYS,CHM
Lagos State,FORESTRY AND WILDLIFE MANAGEMENT (FORESTRY OPTION)/B.FWM,First Class,NA,S,F,2002-09-11,COLERM,FWM
Lagos State,AGRICULTURE/B.AGRIC.,First Class,NA,S,F,2003-06-04,COLAMRUD,AERD
Ogun State,AGRICULTURE/B.AGRIC.,First Class,NA,S,F,1999-10-06,COLANIM,ABG
Lagos State,HOSPITALITY AND TOURISM/B.Sc.,First Class,NA,S,F,1997-07-09,COLFHEC,HTM
Ogun State,AGRICULTURE/B.AGRIC.,First Class,NA,S,M,1993-04-27,COLANIM,ANP
Oyo State,AGRICULTURE/B.AGRIC.,First Class,NA,S,F,2002-11-05,COLANIM,APH
Ogun State,FOOD SCIENCE AND TECHNOLOGY/B.Sc.,First Class,NA,S,F,2002-05-28,COLFHEC,FST
Oyo State,MECHATRONICS ENGINEERING/B.ENGR.,First Class,NA,S,M,2001-09-29,COLENG,MTE
Lagos State,AGRICULTURE/B.AGRIC.,First Class,NA,S,M,1995-10-14,COLAMRUD,AEFM
Oyo State,AGRICULTURE/B.AGRIC.,First Class,NA,S,F,2002-08-31,COLAMRUD,AERD
Ogun State,BOTANY/B.SC.,First Class,NA,S,F,2003-04-24,COLBIOS,PAB
Oyo State,AGRICULTURE/B.AGRIC.,First Class,NA,S,M,2000-10-19,COLPLANT,CPT
Oyo State,MICROBIOLOGY/B.Sc.,First Class,NA,S,F,1998-05-12,COLBIOS,MCB
Oyo State,AGRICULTURE/B.AGRIC.,First Class,NA,S,M,1998-05-18,COLANIM,ANN
Oyo State,AGRICULTURE/B.AGRIC.,First Class,NA,S,F,1996-04-24,COLANIM,APH
Oyo State,BIOCHEMISTRY/B.SC.,First Class,NA,S,F,2002-08-05,COLBIOS,BCH
Ogun State,AGRICULTURE/B.AGRIC.,First Class,NA,S,M,1996-01-16,COLANIM,APH
Ogun State,CHEMISTRY/B.Sc.,First Class,NA,S,M,2000-01-15,COLPHYS,CHM
Oyo State,AQUACULTURE AND FISHERIES MANAGEMENT/B.AQFM,First Class,NA,S,F,2001-07-01,COLERM,AQFM
Lagos State,MECHANICAL ENGINEERING/B.ENGR.,First Class,NA,S,M,1999-11-15,COLENG,MCE
Ogun State,AGRICULTURE/B.AGRIC.,First Class,NA,S,F,1996-06-20,COLAMRUD,AERD
Oyo State,PHYSICS/B.Sc.,First Class,NA,S,M,2000-09-25,COLPHYS,PHS
Ondo State,AGRICULTURE/B.AGRIC.,First Class,NA,S,F,1997-06-15,COLANIM,APH
Osun State,AGRICULTURE/B.AGRIC.,First Class,NA,S,F,1999-12-25,COLAMRUD,AEFM
Lagos State,AQUACULTURE AND FISHERIES MANAGEMENT/B.AQFM,First Class,NA,S,F,1995-04-15,COLERM,AQFM
Kogi State,AGRICULTURE/B.AGRIC.,First Class,NA,S,F,1995-05-15,COLPLANT,HRT
Ogun State,AGRICULTURE/B.AGRIC.,First Class,NA,S,F,2000-08-01,COLANIM,ANN
Lagos State,CIVIL ENGINEERING/B.ENGR.,First Class,NA,S,M,2002-01-11,COLENG,CVE
Lagos State,ELECTRICAL AND ELECTRONICS ENGINEERING/B.ENGR.,First Class,NA,S,M,2001-04-25,COLENG,ELE
Ondo State,AGRICULTURE/B.AGRIC.,First Class,NA,S,M,2002-07-30,COLPLANT,HRT
Oyo State,NUTRITION AND DIETETICS/B.Sc.,First Class,NA,S,F,1999-06-04,COLFHEC,NUD
Ogun State,AGRICULTURE/B.AGRIC.,First Class,NA,S,M,1999-12-15,COLAMRUD,AEFM
Ogun State,PHYSICS/B.Sc.,First Class,NA,S,M,2004-06-08,COLPHYS,PHS
Oyo State,PHYSICS/B.Sc.,First Class,NA,S,F,1999-06-10,COLPHYS,PHS
Ogun State,AGRICULTURE/B.AGRIC.,First Class,NA,S,F,1998-12-10,COLAMRUD,AERD
Ogun State,FORESTRY AND WILDLIFE MANAGEMENT (FORESTRY OPTION)/B.FWM,First Class,NA,S,F,2000-07-21,COLERM,FWM
Lagos State,ELECTRICAL AND ELECTRONICS ENGINEERING/B.ENGR.,First Class,NA,S,M,1999-06-12,COLENG,ELE
Oyo State,AGRICULTURE/B.AGRIC.,First Class,NA,S,F,1994-02-23,COLANIM,ANP
Ogun State,VETERINARY MEDICINE/DVM,First Class,NA,S,F,2003-03-20,COLVET,VET
Ogun State,STATISTICS/B.Sc.,First Class,NA,S,M,2002-09-26,COLPHYS,STS
Lagos State,ENVIRONMENTAL MANAGEMENT & TOXICOLOGY (ENV.  MGT OPTION)/B.EMT,First Class,NA,S,F,2002-03-06,COLERM,EMT
Lagos State,AGRICULTURE/B.AGRIC.,First Class,NA,S,M,2002-01-20,COLPLANT,PPCP
Ondo State,AGRICULTURE/B.AGRIC.,First Class,NA,S,F,1996-03-01,COLANIM,APH
Ogun State,AGRICULTURE/B.AGRIC.,First Class,NA,S,F,2001-12-06,COLAMRUD,AEFM
Ogun State,ELECTRICAL AND ELECTRONICS ENGINEERING/B.ENGR.,First Class,NA,S,M,2001-07-05,COLENG,ELE
Osun State,AGRICULTURE/B.AGRIC.,First Class,NA,S,F,2002-05-28,COLPLANT,SSLM
Lagos State,MICROBIOLOGY/B.Sc.,First Class,NA,S,F,2002-09-25,COLBIOS,MCB
Lagos State,FOOD SCIENCE AND TECHNOLOGY/B.Sc.,First Class,NA,S,F,2000-07-26,COLFHEC,FST
Ogun State,MICROBIOLOGY/B.Sc.,First Class,NA,S,F,2000-03-13,COLBIOS,MCB
Lagos State,NUTRITION AND DIETETICS/B.Sc.,Second Class Upper,NA,S,F,2000-04-06,COLFHEC,NUD
Ogun State,AGRICULTURE/B.AGRIC.,Second Class Upper,NA,S,M,2000-08-06,COLANIM,APH
Ogun State,MATHEMATICS/B.Sc.,Second Class Upper,NA,S,F,2001-05-05,COLPHYS,MTS
Oyo State,HOME SCIENCE AND MANAGEMENT(CHILD DEVELOPMENT & FAMILY STUDIES)/B.Sc.,Second Class Upper,NA,S,F,2001-06-20,COLFHEC,HSM
Osun State,HOSPITALITY AND TOURISM/B.Sc.,Second Class Upper,NA,S,F,2000-09-27,COLFHEC,HTM
Lagos State,BIOCHEMISTRY/B.SC.,Second Class Upper,NA,S,F,2000-06-08,COLBIOS,BCH
Ogun State,AGRICULTURE/B.AGRIC.,Second Class Upper,NA,S,F,1999-10-19,COLPLANT,HRT
Ogun State,BIOCHEMISTRY/B.SC.,Second Class Upper,NA,S,M,2000-01-04,COLBIOS,BCH
Oyo State,PHYSICS/B.Sc.,Second Class Upper,NA,S,M,2001-06-01,COLPHYS,PHS
Lagos State,COMPUTER SCIENCE/B.Sc.,Second Class Upper,NA,S,M,2002-09-17,COLPHYS,CSC
Ogun State,BIOCHEMISTRY/B.SC.,Second Class Upper,NA,S,F,2001-03-20,COLBIOS,BCH
Oyo State,NUTRITION AND DIETETICS/B.Sc.,Second Class Upper,NA,S,F,1999-11-29,COLFHEC,NUD
Oyo State,CIVIL ENGINEERING/B.ENGR.,Second Class Upper,NA,S,F,1997-09-29,COLENG,CVE
Ogun State,PHYSICS/B.Sc.,Second Class Upper,NA,S,M,2003-10-03,COLPHYS,PHS
Ekiti State,MICROBIOLOGY/B.Sc.,Second Class Upper,NA,S,F,2003-04-11,COLBIOS,MCB
Lagos State,AGRICULTURE/B.AGRIC.,Second Class Upper,NA,S,M,2000-12-01,COLAMRUD,AERD
Ogun State,AGRICULTURE/B.AGRIC.,Second Class Upper,NA,S,M,1997-03-10,COLPLANT,PBST
Lagos State,PHYSICS/B.Sc.,Second Class Upper,NA,S,M,1997-10-19,COLPHYS,PHS
Ogun State,PHYSICS/B.Sc.,Second Class Upper,NA,S,F,2004-03-26,COLPHYS,PHS
Oyo State,AGRICULTURE/B.AGRIC.,Second Class Upper,NA,S,M,2000-02-01,COLANIM,ABG
Lagos State,NUTRITION AND DIETETICS/B.Sc.,Second Class Upper,NA,S,F,1998-03-27,COLFHEC,NUD
Oyo State,AGRICULTURE/B.AGRIC.,Second Class Upper,NA,S,F,2000-10-11,COLPLANT,PBST
Oyo State,AGRICULTURE/B.AGRIC.,Second Class Upper,NA,S,F,2001-11-16,COLANIM,APH
Ogun State,BOTANY/B.SC.,Second Class Upper,NA,S,F,1999-05-04,COLBIOS,PAB
Ogun State,AGRICULTURE/B.AGRIC.,Second Class Upper,NA,S,M,2001-11-05,COLANIM,ABG
Ekiti State,AGRICULTURE/B.AGRIC.,Second Class Upper,NA,S,M,2000-10-01,COLANIM,APH
Ekiti State,COMPUTER SCIENCE/B.Sc.,Second Class Upper,NA,S,F,2001-11-15,COLPHYS,CSC
Ekiti State,NUTRITION AND DIETETICS/B.Sc.,Second Class Upper,NA,S,F,2002-08-29,COLFHEC,NUD
Lagos State,COMPUTER SCIENCE/B.Sc.,Second Class Upper,NA,S,F,2000-03-29,COLPHYS,CSC
Oyo State,AGRICULTURE/B.AGRIC.,Second Class Upper,NA,S,F,1998-04-27,COLANIM,ANP
Lagos State,CHEMISTRY/B.Sc.,Second Class Upper,NA,S,M,1999-03-13,COLPHYS,CHM
Lagos State,MICROBIOLOGY/B.Sc.,Second Class Upper,NA,S,F,2000-11-20,COLBIOS,MCB
Ogun State,AGRICULTURE/B.AGRIC.,Second Class Upper,NA,S,M,2001-01-07,COLANIM,ANN
Lagos State,NUTRITION AND DIETETICS/B.Sc.,Second Class Upper,NA,S,F,2002-03-20,COLFHEC,NUD
Ogun State,AGRICULTURE/B.AGRIC.,Second Class Upper,NA,S,M,1991-04-27,COLAMRUD,AERD
Ogun State,AGRICULTURE/B.AGRIC.,Second Class Upper,NA,S,M,1997-02-22,COLAMRUD,AERD
Lagos State,HOSPITALITY AND TOURISM/B.Sc.,Second Class Upper,NA,S,F,1997-05-24,COLFHEC,HTM
Oyo State,AGRICULTURE/B.AGRIC.,Second Class Upper,NA,S,F,1996-05-05,COLANIM,ANP
Lagos State,FOOD SCIENCE AND TECHNOLOGY/B.Sc.,Second Class Upper,NA,S,F,1999-11-20,COLFHEC,FST
Osun State,AGRICULTURE/B.AGRIC.,Second Class Upper,NA,S,M,1997-12-31,COLPLANT,SSLM
Lagos State,WATER RESOURCES MANAGEMENT AND AGROMETEOROLOGY (HYDROLOGY OPTION)/B.WRMA,Second Class Upper,NA,S,M,2000-12-26,COLERM,WMA
Ogun State,AGRICULTURE/B.AGRIC.,Second Class Upper,NA,S,M,1999-08-25,COLAMRUD,AEFM
Ogun State,NUTRITION AND DIETETICS/B.Sc.,Second Class Upper,NA,S,F,2001-10-03,COLFHEC,NUD
Ogun State,AGRICULTURE/B.AGRIC.,Second Class Upper,NA,S,F,2002-11-03,COLANIM,ANP
Ogun State,NUTRITION AND DIETETICS/B.Sc.,Second Class Upper,NA,S,F,1994-08-06,COLFHEC,NUD
Oyo State,AGRICULTURE/B.AGRIC.,Second Class Upper,NA,S,M,2001-03-13,COLAMRUD,AEFM
Ekiti State,CIVIL ENGINEERING/B.ENGR.,Second Class Upper,NA,S,M,1997-01-26,COLENG,CVE
Lagos State,STATISTICS/B.Sc.,Second Class Upper,NA,S,M,1999-12-03,COLPHYS,STS
Ogun State,ELECTRICAL AND ELECTRONICS ENGINEERING/B.ENGR.,Second Class Upper,NA,S,M,2002-05-31,COLENG,ELE
Lagos State,AGRICULTURE/B.AGRIC.,Second Class Upper,NA,S,M,2002-06-24,COLPLANT,PBST
Oyo State,PHYSICS/B.Sc.,Second Class Upper,NA,S,M,2002-03-07,COLPHYS,PHS
Lagos State,HOME SCIENCE AND MANAGEMENT(CHILD DEVELOPMENT & FAMILY STUDIES)/B.Sc.,Second Class Upper,NA,S,F,2000-06-20,COLFHEC,HSM
Ondo State,MICROBIOLOGY/B.Sc.,Second Class Upper,NA,S,M,1997-10-20,COLBIOS,MCB
Kogi State,AQUACULTURE AND FISHERIES MANAGEMENT/B.AQFM,Second Class Upper,NA,S,F,2000-12-13,COLERM,AQFM
Ogun State,HOSPITALITY AND TOURISM/B.Sc.,Second Class Upper,NA,S,F,1995-03-23,COLFHEC,HTM
Ogun State,AQUACULTURE AND FISHERIES MANAGEMENT/B.AQFM,Second Class Upper,NA,S,F,1999-06-10,COLERM,AQFM
Oyo State,FOOD SCIENCE AND TECHNOLOGY/B.Sc.,Second Class Upper,NA,S,F,2001-07-17,COLFHEC,FST
Ogun State,NUTRITION AND DIETETICS/B.Sc.,Second Class Upper,NA,S,F,1998-06-25,COLFHEC,NUD
Oyo State,AGRICULTURE/B.AGRIC.,Second Class Upper,NA,S,F,2002-12-27,COLANIM,APH
Oyo State,BIOCHEMISTRY/B.SC.,Second Class Upper,NA,S,F,2001-05-16,COLBIOS,BCH
Lagos State,NUTRITION AND DIETETICS/B.Sc.,Second Class Upper,NA,S,F,2001-10-17,COLFHEC,NUD
Lagos State,NUTRITION AND DIETETICS/B.Sc.,Second Class Upper,NA,S,F,1999-02-27,COLFHEC,NUD
Ogun State,NUTRITION AND DIETETICS/B.Sc.,Second Class Upper,NA,S,F,2003-03-17,COLFHEC,NUD
Ogun State,AGRICULTURE/B.AGRIC.,Second Class Upper,NA,S,M,2001-06-17,COLANIM,APH
Ogun State,MICROBIOLOGY/B.Sc.,Second Class Upper,NA,S,F,1999-04-30,COLBIOS,MCB
Lagos State,AGRICULTURE/B.AGRIC.,Second Class Upper,NA,S,F,2002-04-08,COLANIM,ABG
Ogun State,AGRICULTURE/B.AGRIC.,Second Class Upper,NA,S,F,2001-04-05,COLANIM,PRM
Oyo State,HOSPITALITY AND TOURISM/B.Sc.,Second Class Upper,NA,S,M,2001-01-05,COLFHEC,HTM
Ogun State,ZOOLOGY/B.SC.,Second Class Upper,NA,S,M,2000-08-22,COLBIOS,PAZ
Ogun State,VETERINARY MEDICINE/DVM,Second Class Upper,NA,S,F,2000-12-09,COLVET,VET
Lagos State,MICROBIOLOGY/B.Sc.,Second Class Upper,NA,S,F,2002-02-09,COLBIOS,MCB
Oyo State,ENVIRONMENTAL MANAGEMENT & TOXICOLOGY (ENV.  MGT OPTION)/B.EMT,Second Class Upper,NA,S,M,2001-03-08,COLERM,EMT
Ogun State,AGRICULTURE/B.AGRIC.,Second Class Upper,NA,S,M,2000-12-18,COLPLANT,CPT
Ogun State,WATER RESOURCES MANAGEMENT AND AGROMETEOROLOGY (HYDROLOGY OPTION)/B.WRMA,Second Class Upper,NA,S,M,1999-05-05,COLERM,WMA
Ogun State,STATISTICS/B.Sc.,Second Class Upper,NA,S,M,2000-12-11,COLPHYS,STS
Ogun State,AGRICULTURE/B.AGRIC.,Second Class Upper,NA,S,F,2000-10-16,COLANIM,ANN
Ogun State,NUTRITION AND DIETETICS/B.Sc.,Second Class Upper,NA,S,F,2002-01-13,COLFHEC,NUD
Lagos State,NUTRITION AND DIETETICS/B.Sc.,Second Class Upper,NA,S,F,2001-04-01,COLFHEC,NUD
Oyo State,AGRICULTURE/B.AGRIC.,Second Class Upper,NA,S,F,1999-06-12,COLAMRUD,AEFM
Oyo State,AGRICULTURE/B.AGRIC.,Second Class Upper,NA,S,M,2000-04-19,COLPLANT,PBST
Ogun State,AGRICULTURE/B.AGRIC.,Second Class Upper,NA,S,F,2002-07-19,COLPLANT,HRT
Oyo State,HOSPITALITY AND TOURISM/B.Sc.,Second Class Upper,NA,S,F,2001-09-12,COLFHEC,HTM
Ogun State,AGRICULTURE/B.AGRIC.,Second Class Upper,NA,S,M,1995-07-21,COLPLANT,SSLM
Edo State,HOME SCIENCE AND MANAGEMENT(CHILD DEVELOPMENT & FAMILY STUDIES)/B.Sc.,Second Class Upper,NA,S,F,1999-05-11,COLFHEC,HSM
Lagos State,ELECTRICAL AND ELECTRONICS ENGINEERING/B.ENGR.,Second Class Upper,NA,S,M,2001-03-31,COLENG,ELE
Ogun State,FORESTRY AND WILDLIFE MANAGEMENT (FORESTRY OPTION)/B.FWM,Second Class Upper,NA,S,F,2000-09-02,COLERM,FWM
Lagos State,AQUACULTURE AND FISHERIES MANAGEMENT/B.AQFM,Second Class Upper,NA,S,M,1999-02-20,COLERM,AQFM
Ogun State,CIVIL ENGINEERING/B.ENGR.,Second Class Upper,NA,S,F,2002-02-10,COLENG,CVE
Ogun State,AGRICULTURE/B.AGRIC.,Second Class Upper,NA,S,F,1999-03-04,COLANIM,APH
Osun State,NUTRITION AND DIETETICS/B.Sc.,Second Class Upper,NA,M,F,1993-11-16,COLFHEC,NUD
Osun State,HOSPITALITY AND TOURISM/B.Sc.,Second Class Upper,NA,S,F,1997-06-26,COLFHEC,HTM
Ogun State,CIVIL ENGINEERING/B.ENGR.,Second Class Upper,NA,S,M,2000-11-03,COLENG,CVE
Oyo State,STATISTICS/B.Sc.,Second Class Upper,NA,S,M,2002-08-31,COLPHYS,STS
Lagos State,FOOD SCIENCE AND TECHNOLOGY/B.Sc.,Second Class Upper,NA,S,F,1998-04-08,COLFHEC,FST
Oyo State,NUTRITION AND DIETETICS/B.Sc.,Second Class Upper,NA,S,F,2001-01-29,COLFHEC,NUD
Ogun State,NUTRITION AND DIETETICS/B.Sc.,Second Class Upper,NA,S,F,1999-09-29,COLFHEC,NUD
Ogun State,AGRICULTURE/B.AGRIC.,Second Class Upper,NA,S,M,2002-09-20,COLANIM,ANN
Ogun State,AGRICULTURE/B.AGRIC.,Second Class Upper,NA,S,F,2001-10-11,COLANIM,ANP
Ogun State,NUTRITION AND DIETETICS/B.Sc.,Second Class Upper,NA,S,F,2004-10-27,COLFHEC,NUD
Ogun State,PHYSICS/B.Sc.,Second Class Upper,NA,S,F,2000-11-27,COLPHYS,PHS
Oyo State,AGRICULTURE/B.AGRIC.,Second Class Upper,NA,S,F,2001-01-10,COLAMRUD,AEFM
Oyo State,AGRICULTURE/B.AGRIC.,Second Class Upper,NA,S,F,2001-12-07,COLPLANT,PBST
Lagos State,NUTRITION AND DIETETICS/B.Sc.,Second Class Upper,NA,S,F,1998-01-30,COLFHEC,NUD
Ogun State,CHEMISTRY/B.Sc.,Second Class Upper,NA,S,M,2000-07-07,COLPHYS,CHM
Oyo State,PHYSICS/B.Sc.,Second Class Upper,NA,S,M,2002-05-23,COLPHYS,PHS
Ogun State,HOSPITALITY AND TOURISM/B.Sc.,Second Class Upper,NA,S,F,1999-03-27,COLFHEC,HTM
Oyo State,BOTANY/B.SC.,Second Class Upper,NA,S,F,1996-07-04,COLBIOS,PAB
Osun State,AGRICULTURE/B.AGRIC.,Second Class Upper,NA,S,M,2000-01-25,COLANIM,PRM
Oyo State,FORESTRY AND WILDLIFE MANAGEMENT (FORESTRY OPTION)/B.FWM,Second Class Upper,NA,S,F,2000-05-05,COLERM,FWM
Oyo State,AGRICULTURE/B.AGRIC.,Second Class Upper,NA,S,F,2001-12-31,COLPLANT,CPT
Ogun State,FOOD SCIENCE AND TECHNOLOGY/B.Sc.,Second Class Upper,NA,S,F,1998-06-15,COLFHEC,FST
Ogun State,FOOD SCIENCE AND TECHNOLOGY/B.Sc.,Second Class Upper,NA,S,F,1998-03-06,COLFHEC,FST
Ogun State,FOOD SCIENCE AND TECHNOLOGY/B.Sc.,Second Class Upper,NA,S,F,1999-10-20,COLFHEC,FST
Ogun State,BIOCHEMISTRY/B.SC.,Second Class Upper,NA,S,M,2000-06-22,COLBIOS,BCH
Lagos State,AGRICULTURE/B.AGRIC.,Second Class Upper,NA,S,M,1996-08-25,COLPLANT,PPCP
